"","month","min_depth","min","max"
"1",1,0,8.8,11.18
"2",1,2.5,9.82,11.03
"3",1,5,9.72,11.22
"4",1,7.5,9.81,10.9
"5",1,10,9.72,10.92
"6",1,15,9.77,10.9
"7",1,20,9.7,10.92
"8",1,25,9.79,10.75
"9",1,30,8.99,10.84
"10",1,35,9.75,10.67
"11",1,40,9.22,10.96
"12",1,50,8.5,10.8
"13",1,100,8.4,10.55
"14",2,0,9.5,12.31
"15",2,2.5,9.47,11.53
"16",2,5,9.51,12.23
"17",2,7.5,9.45,11.49
"18",2,10,9.47,12.19
"19",2,15,9.41,11.55
"20",2,20,9.41,12.11
"21",2,25,9.9,10.69
"22",2,30,9.36,12.04
"23",2,35,9.91,10.67
"24",2,40,10.03,11.93
"25",2,50,9.36,11.93
"26",2,100,7.68,11.32
"27",3,0,9.65,16.63
"28",3,2.5,9.54,15.91
"29",3,5,9.55,14.84
"30",3,7.5,9.32,13.81
"31",3,10,9.52,13.11
"32",3,15,9.48,12.14
"33",3,20,9.42,12.26
"34",3,25,9.69,11.49
"35",3,30,9.5,11.54
"36",3,35,9.51,11.22
"37",3,40,9.67,12.01
"38",3,50,9.44,11.55
"39",3,100,8.02,11.56
"40",4,0,11.02,17.55
"41",4,2.5,10.95,18.7
"42",4,5,10.64,16.61
"43",4,7.5,10.63,14.65
"44",4,10,10.45,13.96
"45",4,15,10.07,13.44
"46",4,20,9.88,12.68
"47",4,25,9.98,12.11
"48",4,30,9.81,12.23
"49",4,35,8.6,11.64
"50",4,40,10.36,11.67
"51",4,50,9.53,19.96
"52",4,100,7.52,11.74
"53",5,0,9.86,18.19
"54",5,2.5,10.29,17.64
"55",5,5,10.18,16.53
"56",5,7.5,10.27,16.12
"57",5,10,9.72,13.22
"58",5,15,9,13.58
"59",5,20,8.42,12.56
"60",5,25,8.76,11.76
"61",5,30,8.32,12.43
"62",5,35,8.76,11.67
"63",5,40,9.99,11.95
"64",5,50,8.9,11.87
"65",5,100,8.18,11.44
"66",6,0,9.63,15.82
"67",6,2.5,9.9,15.82
"68",6,5,9.77,16.52
"69",6,7.5,0,13.25
"70",6,10,9.12,12.82
"71",6,15,8.95,13.65
"72",6,20,8.7,11.91
"73",6,25,8.2,11.43
"74",6,30,8.48,11.8
"75",6,35,8.59,13.79
"76",6,40,9.67,12.27
"77",6,50,9.04,11.72
"78",6,100,8.6,11.94
"79",7,0,9.46,16.46
"80",7,2.5,9.3,16.6
"81",7,5,9.59,21.47
"82",7,7.5,8.39,14.73
"83",7,10,7.61,14.03
"84",7,15,7.69,12.44
"85",7,20,7.2,11.47
"86",7,25,7.45,10.2
"87",7,30,7.92,11.45
"88",7,35,8.04,10.3
"89",7,40,9.29,11.59
"90",7,50,8.35,11.41
"91",7,100,8.21,11.34
"92",8,0,9.2,12.3
"93",8,2.5,9.32,13
"94",8,5,6.83,17.14
"95",8,7.5,8.02,13.7320427743643
"96",8,10,5.49,12.93
"97",8,15,5.66,11.41
"98",8,20,6.22,10.62
"99",8,25,6.35,10.42
"100",8,30,7.24,10.77
"101",8,35,7.28,10.24
"102",8,40,8.72,10.82
"103",8,50,7.97,11.25
"104",8,100,7.96,11.06
"105",9,0,8.33,12.52
"106",9,2.5,9.11,12.02
"107",9,5,6.57,13.7
"108",9,7.5,7.94,11.71
"109",9,10,6.68,11.04
"110",9,15,6.22,10.83
"111",9,20,5.76,10.52
"112",9,25,5.51,8.2
"113",9,30,6.3,10.16
"114",9,35,7,9.42
"115",9,40,6.86,10.61
"116",9,50,7.16,10.59
"117",9,100,8.13,10.63
"118",10,0,8.46,11.92
"119",10,2.5,8.4,12.4
"120",10,5,6.81,11.9
"121",10,7.5,6.47,13.37
"122",10,10,6.31,12.62
"123",10,15,5.46,10.49
"124",10,20,5.31,9.54
"125",10,25,4.61,9.33
"126",10,30,5.82,9.28
"127",10,35,6.49,8.89
"128",10,40,7.72,9.37
"129",10,50,7.69,9.92
"130",10,100,8.34,11.36
"131",11,0,8.92,11.05
"132",11,2.5,8.68,10.88
"133",11,5,8.75,10.98
"134",11,7.5,8.65,10.87
"135",11,10,5.9,11.08
"136",11,15,5.66,11.24
"137",11,20,5.58,10.41
"138",11,25,6.13,10.1
"139",11,30,6.19,10.38
"140",11,35,6.82268436552159,9.66
"141",11,40,8.14,10.23
"142",11,50,7.17,10.18
"143",11,100,6.12,10.95
"144",12,0,9.45,10.78
"145",12,2.5,9.33,10.82
"146",12,5,9.2,17.87
"147",12,7.5,9.23,10.45
"148",12,10,9.29,10.81
"149",12,15,8.7,10.42
"150",12,20,7.64,10.66
"151",12,25,7.71,10.48
"152",12,30,7.71,10.53
"153",12,35,6.67,10.5
"154",12,40,8.84,10.41
"155",12,50,7.34,10.4
"156",12,100,7.95,10.12
